m,us/ft,gAPI,m3/m3,mD,m3/m3,g/cm3,V/V
4860,61.802898407,155.210495,0.0684999973,-9999,0.0848999992,2.4277000427,0.0292000007
4860.1,61.869499207,154.3717041,0.0676999986,-9999,0.0806999952,2.4331998825,0.036733333
4860.2,61.901199341,154.53819275,0.0671999976,-9999,0.0775666609,2.4395999908,0.0441666655
4860.3,61.943000793,154.77960205,0.0681999996,-9999,0.0754999965,2.4453999996,0.0515000001
4860.4,61.988201141,154.68370056,0.0703999996,-9999,0.0713,2.4507000446,0.0730333328
4860.5,62.033798218,154.83569336,0.0732999966,-9999,0.0680333376,2.4567000866,0.0904333368
4860.6,62.051101685,156.42359924,0.0763999969,-9999,0.065700002,2.4637999535,0.1036999971
4860.7,61.936401367,159.7263031,0.0791999996,-9999,0.0621000007,2.470400095,0.1256333292
4860.8,61.713100433,164.28430176,0.0819000006,-9999,0.0602333322,2.4744999409,0.1391333342
4860.9,61.583999634,168.93699646,0.0839999989,-9999,0.0601000004,2.4748001099,0.1441999972
4861,61.511699677,172.6566925,0.0851999968,-9999,0.0616333336,2.4728000164,0.1424666643
4861.1,61.497299194,175.16610718,0.0851999968,-9999,0.0630333349,2.469700098,0.1384666711
4861.2,61.642700195,176.14990234,0.0839999989,-9999,0.0643000007,2.4656999111,0.1322000027
4861.3,61.765300751,175.45480347,0.0819000006,-9999,0.0676333383,2.4609999657,0.1124666706
4861.4,61.854301453,172.769104,0.0791999996,-9999,0.0701666698,2.4556999207,0.0969333351
4861.5,61.945201874,168.28729248,0.0760999992,-9999,0.0719000027,2.450799942,0.0856000036
4861.6,62.003501892,163.44960022,0.0733999982,-9999,0.0728333294,2.4481999874,0.0736000016
4861.7,62.012798309,159.74549866,0.0715999976,-9999,0.0726333335,2.448800087,0.0683000013
4861.8,62.019798279,158.2519989,0.0707999989,-9999,0.0713,2.4525001049,0.0697000027
4861.9,62.02519989,158.34950256,0.0705000013,-9999,0.0688999966,2.4570999146,0.0748333335
4862,62.027999878,158.32330322,0.0702999979,-9999,0.0681333318,2.4595999718,0.0757666677
4862.1,61.961101532,156.71569824,0.0698999986,-9999,0.0689999983,2.4568998814,0.0724999979
4862.2,61.891101837,153.0993042,0.0688000023,-9999,0.076866664,2.4479000568,0.0474333316
4862.3,61.847198486,148.61230469,0.0671999976,-9999,0.0833999962,2.4354000092,0.0271999985
4862.4,61.86869812,144.45489502,0.0653999969,-9999,0.0886000022,2.4224998951,0.0118000004
4862.5,61.904499054,141.73210144,0.0639000013,-9999,0.0932666659,2.4133999348,0.0039333333
4862.6,61.928798676,140.16690063,0.0625,-9999,0.0951333344,2.4100000858,0
4862.7,61.883899689,139.26919556,0.0610000007,-9999,0.0942000002,2.4133000374,0
4862.8,61.797901154,138.76359558,0.059700001,-9999,0.0859333351,2.4237999916,0.0066
4862.9,61.651699066,138.92329407,0.0590000004,-9999,0.0791666657,2.4377000332,0.0163000003
4863,61.531398773,140.3789978,0.0593999997,-9999,0.0738999993,2.4512000084,0.0291000009
4863.1,61.434700012,143.80430603,0.060800001,-9999,0.070100002,2.4593000412,0.0452333353
4863.2,61.39899826,149.31419373,0.0628999993,-9999,0.0687333345,2.4605000019,0.0546666682
4863.3,61.346698761,156.04139709,0.0654999986,-9999,0.0697999969,2.4568998814,0.0573999994
4863.4,61.287700653,162.10850525,0.0689999983,-9999,0.0722666681,2.451800108,0.0660666674
4863.5,61.25220108,165.40679932,0.0725999996,-9999,0.0736000016,2.4482998848,0.0727000013
4863.6,61.257701874,165.57029724,0.0750999972,-9999,0.0737999976,2.4470999241,0.0772999972
4863.7,61.296901703,163.40100098,0.0751999989,-9999,0.0736000016,2.4474999905,0.0742999986
4863.8,61.41009903,160.4703064,0.0734999999,-9999,0.0737333298,2.447799921,0.0702333376
4863.9,61.532699585,158.04040527,0.0715999976,-9999,0.0741999969,2.4468998909,0.0650999993
4864,61.662200928,156.26930237,0.0705000013,-9999,0.078066662,2.4433999062,0.0531000011
4864.1,61.725399017,154.6598053,0.0705000013,-9999,0.081766665,2.4361000061,0.0434999987
4864.2,61.752601624,153.09669495,0.0710000023,-9999,0.0852999985,2.4265999794,0.0362999998
4864.3,61.742401123,151.97309875,0.0715000033,-9999,0.0896333307,2.4177999496,0.0290333331
4864.4,61.623001099,152.36390686,0.0722000003,-9999,0.0908666626,2.415199995,0.0290333331
4864.5,61.458099365,154.91679382,0.0732999966,-9999,0.0890000015,2.4205999374,0.0362999998
4864.6,61.240501404,159.42630005,0.075000003,-9999,0.0790000036,2.4328000546,0.0690333322
4864.7,61.019298553,164.27180481,0.077200003,-9999,0.071800001,2.447799921,0.0931333303
4864.8,60.792900085,167.35299683,0.0790999979,-9999,0.067400001,2.4605000019,0.1085999981
4864.9,60.558898926,168.0579071,0.0799999982,-9999,0.0637999997,2.4686000347,0.1189333349
4865,60.510398865,167.01849365,0.0794999972,-9999,0.0624666661,2.4711999893,0.1215333343
4865.1,60.559700012,165.47219849,0.0782999992,-9999,0.0634000003,2.4684998989,0.1164000034
4865.2,60.741500854,163.71429443,0.0772999972,-9999,0.0676000044,2.4623000622,0.1027333364
4865.3,61.097301483,161.26130676,0.0771000013,-9999,0.0698666722,2.4560000896,0.0951666683
4865.4,61.488700867,158.42030334,0.0768999979,-9999,0.0702000037,2.4549000263,0.0936999992
4865.5,61.876701355,156.4703064,0.0764999986,-9999,0.0634000003,2.461400032,0.1108999997
4865.6,62.28950119,156.67480469,0.0763000026,-9999,0.0566666648,2.4760000706,0.1304666698
4865.7,62.644901276,160.53610229,0.0776999965,-9999,0.0500000007,2.4974000454,0.1524000019
4865.8,62.8083992,168.47019958,0.0812000036,-9999,0.0368000008,2.5202999115,0.2119333297
4865.9,62.856899261,180.68359375,0.0878000036,-9999,0.0295000002,2.5390000343,0.2549999952
4866,62.830898285,195.26060486,0.0975999981,-9999,0.0281000007,2.543900013,0.2815999985
4866.1,62.682201385,206.86650085,0.1066000015,-9999,0.0391666666,2.5325000286,0.2775999904
4866.2,62.551799774,210.6605072,0.1094999984,0.5422,0.0490666665,2.5085000992,0.2551666498
4866.3,62.422100067,203.82380676,0.1026000008,-9999,0.0577999987,2.4797999859,0.2143000066
4866.4,62.250598907,190.73599243,0.0907000005,-9999,0.0713999942,2.4553999901,0.1246333346
4866.5,62.106998444,177.14360046,0.0790999979,0.3265,0.0800333321,2.4386000633,0.0661666691
4866.6,61.971199036,166.8506012,0.070600003,-9999,0.0837000012,2.4296000004,0.0388999991
4866.7,61.765800476,160.18980408,0.0656000003,-9999,0.0854333341,2.4268000126,0.0207000002
4866.8,61.608299255,155.86999512,0.0631000027,0.1362,0.0853333324,2.4282999039,0.0130666671
4866.9,61.488800049,153.66400146,0.0625,-9999,0.0834000036,2.4331998825,0.0160000008
4867,61.430301666,153.9078064,0.0631999969,-9999,0.0787333325,2.4393000603,0.0306666661
4867.1,61.348400116,155.63499451,0.0645999983,-9999,0.0755333304,2.4444999695,0.0418666676
4867.2,61.243801117,157.28210449,0.0662999973,0.1185,0.0737999976,2.4488999844,0.0496000014
4867.3,60.938800812,157.14889526,0.0675999969,-9999,0.0683333352,2.4549000263,0.0678666681
4867.4,60.630298615,155.41389465,0.0683000013,-9999,0.0636666641,2.4644999504,0.0823666677
4867.5,60.318099976,153.42610168,0.0683000013,0.0116,0.059799999,2.4767000675,0.0930999964
4867.6,59.968898773,153.93600464,0.0680000037,-9999,0.0554666668,2.4869999886,0.1040999964
4867.7,59.691501617,157.99519348,0.067900002,0.0386,0.0542000011,2.4902999401,0.1080000028
4867.8,59.507301331,164.53860474,0.068400003,0.0298,0.0560000017,2.4853999615,0.1048000008
4867.9,59.512699127,170.39790344,0.0694999993,-9999,0.0616000034,2.4756999016,0.0949333385
4868,59.579399109,172.30729675,0.0702999979,-9999,0.0640666708,2.4691998959,0.091566667
4868.1,59.714000702,170.08050537,0.070600003,-9999,0.0634000003,2.4719998837,0.0947000012
4868.2,59.887001038,167.10839844,0.0707999989,-9999,0.0512666665,2.4867999554,0.1292999983
4868.3,60.062698364,168.65890503,0.0719000027,0.09459999,0.0423666686,2.507999897,0.1570666581
4868.4,60.232398987,175.5039978,0.0746000037,-9999,0.0366999991,2.5248999596,0.1780000031
4868.5,60.50799942,184.0355072,0.0784000009,0.1867,0.0407666676,2.5274000168,0.1811999977
4868.6,60.797798157,187.59260559,0.0811000019,-9999,0.046633333,2.5116999149,0.1714666635
4868.7,61.066101074,183.55870056,0.0804999992,-9999,0.054299999,2.4874000549,0.1488000005
4868.8,61.081100464,173.2723999,0.0766000003,0.0285,0.0653000027,2.4653999805,0.0994666666
4868.9,60.94670105,161.15730286,0.0710000023,-9999,0.0710000023,2.4558000565,0.0700333342
4869,60.586601257,151.50419617,0.0661000013,-9999,0.0714000016,2.4577000141,0.0604999997
4869.1,60.377300262,145.37280273,0.0631000027,0.0114,0.0654666647,2.4665000439,0.0686333328
4869.2,60.258598328,143.11169434,0.0626000017,-9999,0.0615000017,2.4760000706,0.0774666667
4869.3,60.272201538,144.01019287,0.0643000007,-9999,0.0595000014,2.4825000763,0.0869999975
4869.4,60.568199158,148.10079956,0.0680999979,-9999,0.0574333332,2.4858000278,0.1135333329
4869.5,61.044498444,156.03919983,0.0741000026,0.0323,0.0565333329,2.4872999191,0.135800004
4869.6,61.77130127,167.06869507,0.0815000013,-9999,0.0568000004,2.4886000156,0.1537999958
4869.7,62.881099701,179.31260681,0.0892999992,-9999,0.0536000021,2.4914000034,0.1977333277
4869.8,64.239898682,190.25639343,0.0966000035,0.0001,0.0502333343,2.4995000362,0.2355999947
4869.9,65.788803101,198.22239685,0.1039000005,-9999,0.0467000008,2.5167999268,0.2673999965
4870,67.496696472,204.3618927,0.1127000004,-9999,0.0261666682,2.5429999828,0.3657999933
4870.1,69.28440094,211.7144928,0.1248999983,-9999,0.0108333342,2.5743999481,0.4453333318
4870.2,70.476097107,223.44909668,0.140200004,-9999,0.0007,2.6038000584,0.5059999824
4870.3,71.335601807,237.9342041,0.1548999995,-9999,0.0003,2.6261000633,0.5928666592
4870.4,71.898498535,251.28379822,0.1645999998,0.0001,0.0001,2.6394999027,0.6375666857
4870.5,71.651000977,259.09719849,0.1644999981,-9999,0.0001,2.6426000595,0.6401000023
4870.6,71.145301819,261.63238525,0.1556999981,0.0003000001,0.0001,2.6380999088,0.5732333064
4870.7,70.362297058,260.70840454,0.1406999975,-9999,0.0001,2.6282000542,0.5154666901
4870.8,69.234802246,257.69268799,0.123999998,0.001,0.0001,2.6161000729,0.4668000042
4870.9,67.933296204,252.7098999,0.1096000001,-9999,0.0042333333,2.6040999889,0.3880000114
4871,66.425003052,244.67630005,0.0991000012,-9999,0.0092000002,2.5908999443,0.3327666521
4871.1,65.060699463,233.11500549,0.0922000036,-9999,0.0149999997,2.5727000237,0.3010999858
4871.2,63.805099487,219.77810669,0.0869999975,0.0096,0.0309999995,2.549200058,0.2370333225
4871.3,62.699199677,206.31680298,0.0826999992,-9999,0.0420666672,2.5243999958,0.1937000006
4871.4,62.016601563,193.80780029,0.0799999982,-9999,0.0482000001,2.5055999756,0.1711000055
4871.5,61.513999939,183.64289856,0.0800999999,0.0001,0.0482666679,2.4993000031,0.1762333363
4871.6,61.231300354,177.41369629,0.0825000033,0.0001,0.0459666662,2.5050001144,0.1883666664
4871.7,61.06760025,177.03529358,0.0859000012,-9999,0.0412999988,2.5179998875,0.2074999958
4871.8,60.96680069,183.3565979,0.0873999968,0.0428,0.0377000012,2.5283999443,0.2162999958
4871.9,60.953701019,192.92550659,0.0856999978,-9999,0.0376666673,2.5285000801,0.2110333294
4872,61.085899353,201.03179932,0.0816999972,-9999,0.0412000008,2.5169000626,0.1916999966
4872.1,61.254398346,201.52909851,0.0769999996,0.069,0.0539333336,2.497699976,0.1399666667
4872.2,61.399799347,194.35189819,0.0731000006,-9999,0.0623000003,2.4802000523,0.1054999977
4872.3,61.595001221,181.835495,0.070100002,-9999,0.0662999973,2.4684000015,0.0882999972
4872.4,61.76789856,168.00619507,0.0678000003,-9999,0.0693666637,2.4632999897,0.0702999979
4872.5,61.770198822,156.57249451,0.0650999993,0.07210001,0.0711666644,2.4609000683,0.0565666668
4872.6,61.815700531,148.65159607,0.0617000014,-9999,0.0716999993,2.4588999748,0.0471000001
4872.7,61.877399445,143.74290466,0.0577000007,-9999,0.0736999959,2.4570000172,0.0270333346
4872.8,61.910598755,139.63499451,0.0538999997,0.5546,0.074666664,2.4563000202,0.0139666675
4872.9,61.928501129,134.83959961,0.050999999,-9999,0.0746000037,2.4568998814,0.0078999996
4873,61.949199677,129.09710693,0.0494999997,-9999,0.0750666708,2.4574999809,0.0050999997
4873.1,62.077598572,123.62619781,0.0498999991,2.2744,0.0759666637,2.4565999508,0.0050666668
4873.2,62.266899109,119.76950073,0.0518999994,1.4824,0.0772999972,2.4544999599,0.0077999998
4873.3,62.498100281,117.92189789,0.055399999,-9999,0.074500002,2.453799963,0.030733332
4873.4,62.676200867,118.36039734,0.0601999983,-9999,0.0706999972,2.459100008,0.055333335
4873.5,62.731601715,121.82710266,0.066399999,0.0001,0.0658999979,2.4728999138,0.0816000029
4873.6,62.677501678,130.53779602,0.074500002,-9999,0.0489666648,2.494699955,0.1632666737
4873.7,62.384498596,148.1000061,0.0844999999,-9999,0.0377666652,2.5190000534,0.2206666619
4873.8,62.046001434,171.15229797,0.0929000005,0.1713,0.0322999991,2.5350000858,0.2538000047
4873.9,61.657100677,194.33329773,0.0949999988,-9999,0.0354999974,2.5367000103,0.2344000041
4874,61.482601166,208.94769287,0.0885000005,-9999,0.039533332,2.5243000984,0.2068333328
4874.1,61.321300507,210.92399597,0.0790000036,0.0903,0.0443999991,2.5081999302,0.1711000055
4874.2,61.164199829,201.0789032,0.0709000006,-9999,0.0519999973,2.4948999882,0.1224333346
4874.3,61.236198425,183.80279541,0.0665000007,-9999,0.0573999994,2.4851999283,0.0926000029
4874.4,61.276500702,166.84570313,0.0653999969,-9999,0.0606000014,2.4755001068,0.0816000029
4874.5,61.228801727,154.79580688,0.066200003,0.1103,0.0693333372,2.4635000229,0.0639333352
4874.6,61.243598938,149.3289032,0.067400001,-9999,0.0756999999,2.4502000809,0.0505000018
4874.7,61.2602005,148.58430481,0.0675999969,-9999,0.0797000006,2.4391999245,0.0412999988
4874.8,61.260299683,148.98570251,0.0671000034,0.094,0.0829000026,2.4328000546,0.0310333334
4874.9,61.40430069,148.78070068,0.0661000013,-9999,0.0841333345,2.4314000607,0.0261333343
4875,61.538200378,148.09190369,0.0653000027,-9999,0.0834000036,2.4340000153,0.0265999995
4875.1,61.564899445,148.09440613,0.0650999993,-9999,0.0806000009,2.4377999306,0.0339333341
4875.2,61.473701477,149.18769836,0.0658000037,0.1369,0.0788333341,2.4410998821,0.0399999991
4875.3,61.390300751,151.07060242,0.067400001,-9999,0.0781000033,2.4423999786,0.0447999984
4875.4,61.44670105,152.64019775,0.0693000033,-9999,0.0784333348,2.4419000149,0.0502666645
4875.5,61.488300323,153.17340088,0.070600003,0.038,0.0789666623,2.4402999878,0.0518000014
4875.6,61.52809906,152.90609741,0.0702000037,-9999,0.0797000006,2.4386000633,0.0494000018
4875.7,61.584499359,152.873703,0.0683000013,-9999,0.0803000033,2.4381000996,0.0400000028
4875.8,61.484699249,153.33630371,0.0659999996,0.0171,0.0804333314,2.4388000965,0.034533333
4875.9,61.31880188,154.00340271,0.0645999983,-9999,0.0800999999,2.4407000542,0.0329999998
4876,61.22259903,154.0809021,0.0649999976,-9999,0.0789666697,2.4425001144,0.0407333337
4876.1,61.143199921,153.04649353,0.0671000034,-9999,0.0788333341,2.4430000782,0.0470666662
4876.2,61.101501465,151.05310059,0.0702000037,0.0307,0.0797000006,2.4405999184,0.0520000011
4876.3,61.319801331,149.31959534,0.0732999966,-9999,0.0833000019,2.4354000092,0.0542666651
4876.4,61.508899689,148.78289795,0.0754000023,-9999,0.0858333334,2.4296998978,0.0554333329
4876.5,61.680198669,149.3572998,0.0764999986,0.0224,0.0873000026,2.42689991,0.0555000007
4876.6,61.926898956,150.67390442,0.0768000036,-9999,0.0835000053,2.4300999641,0.0669666678
4876.7,62.130298615,152.29289246,0.0771000013,-9999,0.0803666711,2.4384000301,0.0789666697
4876.8,62.294300079,153.91969299,0.0781000033,-9999,0.0778999999,2.4500999451,0.0914999992
4876.9,62.657600403,155.60620117,0.0800999999,0.0414,0.0672333315,2.4646999836,0.1315666735
4877,62.992198944,157.40170288,0.0832000002,-9999,0.0592,2.4825000763,0.1667000055
4877.1,63.295200348,159.8500061,0.0879999995,-9999,0.0538000017,2.5044999123,0.1968999952
4877.2,63.449501038,165.16940308,0.0957000032,-9999,0.0355999991,2.5299999714,0.2783666551
4877.3,63.557598114,175.39970398,0.1048000008,-9999,0.0233999994,2.5536999702,0.3346000016
4877.4,63.613700867,190.7223053,0.1116999984,0.0002,0.0172000006,2.5710999966,0.3655999899
4877.5,63.538700104,207.47419739,0.1116999984,0.0006,0.0132666668,2.5796000957,0.3617333472
4877.6,63.419399261,219.39219666,0.1058000028,-9999,0.0111000007,2.5820000172,0.3519999981
4877.7,63.250400543,223.40089417,0.0987000018,-9999,0.0107000005,2.5827000141,0.3364000022
4877.8,62.878200531,220.08799744,0.0936999992,0.0001,0.0090333335,2.5841999054,0.3242666721
4877.9,62.484500885,214.21299744,0.0916000009,-9999,0.0074666669,2.5873000622,0.3196666539
4878,62.116600037,210.12739563,0.0913000032,-9999,0.0060000001,2.5913999081,0.3226000071
4878.1,61.710800171,208.98170471,0.0914999992,-9999,0.0061333333,2.594399929,0.3235333264
4878.2,61.326499939,209.30690002,0.0918999985,0.0001,0.0083333338,2.5908999443,0.3181666732
4878.3,61.018901825,209.31190491,0.0918999985,-9999,0.0126,2.5776000023,0.3064999878
4878.4,60.799900055,208.8164978,0.0908000022,-9999,0.0291333329,2.554500103,0.2529000044
4878.5,60.685199738,207.51679993,0.0878000036,0.008,0.0408999994,2.5271999836,0.2111999989
4878.6,60.817798615,204.53469849,0.0834000036,-9999,0.0478999987,2.5046000481,0.181400001
4878.7,61.016998291,198.62910461,0.0786999986,-9999,0.0546333306,2.4906001091,0.1441999972
4878.8,61.243598938,188.95449829,0.0749000013,0.0256,0.0585333332,2.4842998981,0.1206333265
4878.9,61.471698761,177.99920654,0.0724999979,-9999,0.0595999993,2.4791998863,0.1106999964
4879,61.609500885,168.91349792,0.0716999993,-9999,0.0654666722,2.4714000225,0.0933666676
4879.1,61.69039917,163.88800049,0.071800001,-9999,0.0697000027,2.4612998962,0.0813999996
4879.2,61.702899933,161.90800476,0.0720999986,0.0462,0.072300002,2.4530000687,0.0747999996
4879.3,61.74489975,160.78630066,0.0719000027,-9999,0.0731666684,2.4495000839,0.0700666681
4879.4,61.808300018,158.99789429,0.0709000006,0.0603,0.0733999982,2.4507000446,0.0670000017
4879.5,61.902599335,155.92449951,0.0694999993,0.0573,0.0729999989,2.4526998997,0.0656000003
4879.6,61.960300446,152.04589844,0.0683000013,-9999,0.0749999955,2.4519999027,0.0577333346
4879.7,61.989700317,148.11540222,0.067900002,-9999,0.0770333335,2.4479000568,0.0514000021
4879.8,62.004199982,145.37460327,0.0680000037,0.0367,0.0790999979,2.4421999454,0.0465999991
